,student_id,student_name,States,Test_center,MATH,SCIENCE,PHYSICS,CHEMISTRY,BIOLOGY,TOTAL,PERCENTAGE
0,10001,Rupesh Phatak,Gujarat,Agra,48,91,51,58,70,318,63.6
1,10002,Soham Thakur,Meghalaya,Aasam,82,55,84,61,48,330,66.0
2,10003,Sukh Sonkar,Andhra Pradesh,Hyderabad,58,93,66,54,38,309,61.8
3,10004,Janhavi Thakur,West Bengal,kolkata,91,46,70,41,94,342,68.4
4,10005,Gagan Maurya,Nagaland,Aasam,62,56,31,72,75,296,59.2
5,10006,Manish Mishra,Telangana,Aasam,80,39,68,51,94,332,66.4
6,10007,Ambika Gupta,Himachal Pradesh,kolkata,87,73,69,55,98,382,76.4
7,10008,Janhavi Sonkar,Tamil Nadu,Chennai,63,73,69,51,52,308,61.6
8,10009,Dipendra Gupta,Andhra Pradesh,Hyderabad,87,34,39,42,76,278,55.6
9,10010,Har Divedi,Punjab,Agra,98,65,73,84,47,367,73.4
10,10011,Prathamesh Sonkar,Sikkim,Aasam,85,97,44,98,96,420,84.0
11,10012,Himanshu Phatak,Bihar,kolkata,100,69,43,99,65,376,75.2
12,10013,Karan Gupta,Tamil Nadu,Chennai,41,66,30,64,43,244,48.8
13,10014,Sanjana Tiwari,Sikkim,Aasam,80,42,32,75,97,326,65.2
14,10015,Gita Rao,West Bengal,kolkata,84,50,88,75,87,384,76.8
15,10016,Sachin Divedi,Manipur,Aasam,48,63,66,80,37,294,58.8
16,10017,Reena Thakur,Mizoram,Aasam,45,86,35,61,68,295,59.0
17,10018,Janhavi Tiwari,Chhattisgarh,Hyderabad,82,35,41,35,44,237,47.4
18,10019,Sanket Pandey,Kerala,Chennai,81,66,57,46,79,329,65.8
19,10020,Ambika Tiwari,Telangana,Aasam,78,90,81,96,74,419,83.8
20,10021,Nilam Phatak,Andhra Pradesh,Hyderabad,96,80,51,63,43,333,66.6
21,10022,Ninad Pandey,Uttarakhand,Delhi,79,50,80,77,86,372,74.4
22,10023,Anmol Divedi,Haryana,Delhi,52,43,40,66,81,282,56.4
23,10024,Gouri Vishwakarma,Uttar Pradesh,Delhi,68,78,67,56,94,363,72.6
24,10025,Akshath Thakur,Goa,Banglore,68,80,34,100,78,360,72.0
25,10026,Krishan Rajput,Mizoram,Aasam,67,83,42,33,42,267,53.4
26,10027,Abhi Vishwakarma,Arunachal Pradesh,Aasam,66,99,80,57,74,376,75.2
27,10028,Aman Maurrya,Gujarat,Agra,82,68,38,100,31,319,63.8
28,10029,Ambika Pratap,Telangana,Aasam,74,39,94,98,97,402,80.4
29,10030,Aishwarya Tiwari,Jharkhand,kolkata,56,86,64,91,60,357,71.4
30,10031,Arjun Kumari,Uttarakhand,Delhi,90,76,31,46,83,326,65.2
31,10032,Anupriya Devi,Karnataka,Banglore,82,93,51,78,64,368,73.6
32,10033,Paridhi Mishra,Goa,Banglore,65,34,98,40,72,309,61.8
33,10034,Sukh Kumari,Goa,Banglore,78,57,45,30,50,260,52.0
34,10035,Abhimanyu Devi,Arunachal Pradesh,Aasam,44,46,41,43,48,222,44.4
35,10036,Roshni Pandit,Madhya Pradesh,Mumbai,40,58,59,39,31,227,45.4
36,10037,Par Thakur,Bihar,kolkata,60,94,59,33,84,330,66.0
37,10038,Aarav Divedi,Madhya Pradesh,Mumbai,59,88,88,71,49,355,71.0
38,10039,Shivani Tiwari,Chhattisgarh,Hyderabad,52,77,54,63,58,304,60.8
39,10040,Gagan Rajput,Nagaland,Aasam,58,55,51,63,33,260,52.0
40,10041,Param Divedi,Kerala,Chennai,79,51,73,59,85,347,69.4
41,10042,Shila Sonkar,Chhattisgarh,Hyderabad,83,85,35,72,38,313,62.6
42,10043,Ronak Thakur,Punjab,Agra,80,57,48,93,88,366,73.2
43,10044,Shalani Sonkar,Meghalaya,Aasam,85,56,70,72,94,377,75.4
44,10045,Radha Vishwakarma,Gujarat,Agra,82,99,57,63,78,379,75.8
45,10046,Pallawi Rajput,Rajasthan,Delhi,59,32,59,89,68,307,61.4
46,10047,Shradha Vishwakarma,West Bengal,kolkata,39,71,89,42,94,335,67.0
47,10048,Sarthak Pratap,Haryana,Delhi,32,92,42,80,92,338,67.6
48,10049,Akshath Phatak,Gujarat,Agra,75,44,61,98,46,324,64.8
49,10050,Shyam Rao,Himachal Pradesh,kolkata,80,37,99,45,63,324,64.8
50,10051,Shyam Phatak,Maharashtra,Mumbai,82,43,89,82,44,340,68.0
51,10052,Samraat Divedi,Tripura,Aasam,99,87,96,97,62,441,88.2
52,10053,Abhishek Thakur,Goa,Banglore,56,91,98,64,62,371,74.2
53,10054,Saritha Rai,Kerala,Chennai,88,57,71,66,38,320,64.0
54,10055,Rahul Srivastav,Karnataka,Banglore,50,50,34,36,37,207,41.4
55,10056,Gaurav Phatak,Himachal Pradesh,kolkata,43,74,48,80,88,333,66.6
